S. no.,quote,image
0,A will finds a way. ,https://quotes.values.com/quote_artwork/4108/medium/20180914_friday_quote.jpg?1536354551
1,"Obstacles don’t have to stop you. If you run into a wall, don’t turn around and give up. Figure out how to climb it, go through it or work around it. ",https://quotes.values.com/quote_artwork/7058/medium/20180913_thursday_quote.jpg?1536354522
2,"A dream doesn't become reality through magic; it takes sweat, determination and hard work. ",https://quotes.values.com/quote_artwork/6860/medium/20180912_wednesday_quote.jpg?1536354495
3,The difference between the impossible and the possible lies in a person's determination. ,https://quotes.values.com/quote_artwork/3711/medium/20180911_tuesday_quote.jpg?1536354476
4,"Never, never, never give up. ",https://quotes.values.com/quote_artwork/3220/medium/20180910_monday_quote.jpg?1536354453
5,"Passion is one great force that unleashes creativity, because if you're passionate about something, then you're more willing to take risks. ",https://quotes.values.com/quote_artwork/7807/medium/20180907_friday_quote_updated.jpg?1535745093
6,Purpose is the reason you journey. Passion is the fire that lights the way. ,https://quotes.values.com/quote_artwork/7806/medium/20180906_thursday_quote.jpg?1535738225
7,"Nothing is as important as passion. No matter what you want to do with your life, be passionate. ",https://quotes.values.com/quote_artwork/7805/medium/20180905_wendesday_quote.jpg?1535738199
8,"Every great dream begins with a dreamer. Always remember you have within you the strength, the patience and the passion to reach for the stars, to change the world. ",https://quotes.values.com/quote_artwork/7065/medium/20180904_tuesday_quote.jpg?1535738157
9,Passion is energy. Feel the power that comes from focusing on what excites you. ,https://quotes.values.com/quote_artwork/7804/medium/20180903_monday_quote.jpg?1535738128
10,I think tolerance and acceptance and love is something that feeds every community. ,https://quotes.values.com/quote_artwork/7803/medium/20180831_friday_quote.jpg?1535142290
11,"Our uniqueness, our individuality, and our life experience molds us into fascinating beings. I pray we may all challenge ourselves to delve into the deepest resources of our hearts to cultivate an atmosphere of understanding, acceptance, tolerance, and compassion. We are all in this life together. ",https://quotes.values.com/quote_artwork/7802/medium/20180830_thursday_quote.jpg?1535142254
12,True belonging doesn’t require you to change who you are; it requires you to be who you are. ,https://quotes.values.com/quote_artwork/7801/medium/20180829_wednesday_quote.jpg?1535142217
13,"Our job on earth isn't to criticize, reject, or judge. Our purpose is to offer a helping hand, compassion, and mercy. We are to do unto others as we hope they would do unto us. ",https://quotes.values.com/quote_artwork/7800/medium/20180828_tuesday_quote.jpg?1535142192
14,I believe that the greatest kindness is acceptance. ,https://quotes.values.com/quote_artwork/7799/medium/20180827_monday_quote_alternate.jpg?1535146214
15,And the day came when the risk to remain tight in a bud was more painful than the risk it took to blossom. ,https://quotes.values.com/quote_artwork/6743/medium/20180824_friday_quote.jpg?1534439241
